tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
10:09:19.676921 IP 172.30.0.20.43443 > 172.30.0.10.3478: UDP, length 20
10:09:19.677125 IP 172.30.0.10.3478 > 172.30.0.20.43443: UDP, length 32
10:09:19.677358 IP 172.30.0.20.43443 > 172.30.0.10.3479: UDP, length 20
10:09:19.677408 IP 172.30.0.10.3479 > 172.30.0.20.43443: UDP, length 32
10:09:19.677808 IP 172.30.0.20.43443 > 172.30.0.10.3480: UDP, length 20
10:09:19.677869 IP 172.30.0.10.3480 > 172.30.0.20.43443: UDP, length 32
10:09:19.677962 IP 172.30.0.20.43443 > 172.30.0.10.3481: UDP, length 20
10:09:19.677997 IP 172.30.0.10.3481 > 172.30.0.20.43443: UDP, length 32
10:09:19.680803 IP 172.30.0.20.43443 > 172.30.0.21.45020: UDP, length 8
10:09:19.680832 IP 172.30.0.20.43443 > 172.30.0.21.45021: UDP, length 8
10:09:19.680845 IP 172.30.0.20.43443 > 172.30.0.21.45022: UDP, length 8
10:09:19.680862 IP 172.30.0.20.43443 > 172.30.0.21.45023: UDP, length 8
10:09:19.680878 IP 172.30.0.20.43443 > 172.30.0.21.45024: UDP, length 8
10:09:19.680964 IP 172.30.0.20.43443 > 172.30.0.21.45025: UDP, length 8
10:09:19.680979 IP 172.30.0.20.43443 > 172.30.0.21.45026: UDP, length 8
10:09:19.680987 IP 172.30.0.20.43443 > 172.30.0.21.45027: UDP, length 8
10:09:19.680994 IP 172.30.0.20.43443 > 172.30.0.21.45028: UDP, length 8
10:09:19.681002 IP 172.30.0.20.43443 > 172.30.0.21.45029: UDP, length 8
10:09:19.681009 IP 172.30.0.20.43443 > 172.30.0.21.45030: UDP, length 8
10:09:19.681016 IP 172.30.0.20.43443 > 172.30.0.21.45031: UDP, length 8
10:09:19.681023 IP 172.30.0.20.43443 > 172.30.0.21.45032: UDP, length 8
10:09:19.681031 IP 172.30.0.20.43443 > 172.30.0.21.45033: UDP, length 8
10:09:19.681038 IP 172.30.0.20.43443 > 172.30.0.21.45034: UDP, length 8
10:09:19.681046 IP 172.30.0.20.43443 > 172.30.0.21.45035: UDP, length 8
10:09:19.681052 IP 172.30.0.20.43443 > 172.30.0.21.45036: UDP, length 8
10:09:19.681060 IP 172.30.0.20.43443 > 172.30.0.21.45037: UDP, length 8
10:09:19.681066 IP 172.30.0.20.43443 > 172.30.0.21.45038: UDP, length 8
10:09:19.681072 IP 172.30.0.20.43443 > 172.30.0.21.45039: UDP, length 8
10:09:19.681080 IP 172.30.0.20.43443 > 172.30.0.21.45040: UDP, length 8
10:09:19.681086 IP 172.30.0.20.43443 > 172.30.0.21.45041: UDP, length 8
10:09:19.681094 IP 172.30.0.20.43443 > 172.30.0.21.45042: UDP, length 8
10:09:19.681100 IP 172.30.0.20.43443 > 172.30.0.21.45043: UDP, length 8
10:09:19.681107 IP 172.30.0.20.43443 > 172.30.0.21.45044: UDP, length 8
10:09:19.681113 IP 172.30.0.20.43443 > 172.30.0.21.45045: UDP, length 8
10:09:19.681120 IP 172.30.0.20.43443 > 172.30.0.21.45046: UDP, length 8
10:09:19.681126 IP 172.30.0.20.43443 > 172.30.0.21.45047: UDP, length 8
10:09:19.681133 IP 172.30.0.20.43443 > 172.30.0.21.45048: UDP, length 8
10:09:19.681140 IP 172.30.0.20.43443 > 172.30.0.21.45049: UDP, length 8
10:09:19.681146 IP 172.30.0.20.43443 > 172.30.0.21.45050: UDP, length 8
10:09:19.681153 IP 172.30.0.20.43443 > 172.30.0.21.45051: UDP, length 8
40 packets captured
264 packets received by filter
0 packets dropped by kernel
