tcpdump: WARNING: any: That device doesn't support promiscuous mode
(Promiscuous mode not supported on the "any" device)
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
11:24:51.389515 eth1  In  IP 172.30.1.20.42610 > 172.30.2.10.3478: UDP, length 20
11:24:51.389521 eth0  Out IP 172.30.1.20.42610 > 172.30.2.10.3478: UDP, length 20
11:24:51.390689 eth0  In  IP 172.30.2.10.3478 > 172.30.1.20.42610: UDP, length 32
11:24:51.390691 eth1  Out IP 172.30.2.10.3478 > 172.30.1.20.42610: UDP, length 32
11:24:51.390939 eth1  In  IP 172.30.1.20.42610 > 172.30.2.10.3479: UDP, length 20
11:24:51.390942 eth0  Out IP 172.30.1.20.42610 > 172.30.2.10.3479: UDP, length 20
11:24:51.390992 eth0  In  IP 172.30.2.10.3479 > 172.30.1.20.42610: UDP, length 32
11:24:51.390993 eth1  Out IP 172.30.2.10.3479 > 172.30.1.20.42610: UDP, length 32
11:24:51.391446 eth1  In  IP 172.30.1.20.42610 > 172.30.2.10.3480: UDP, length 20
11:24:51.391447 eth0  Out IP 172.30.1.20.42610 > 172.30.2.10.3480: UDP, length 20
11:24:51.391533 eth0  In  IP 172.30.2.10.3480 > 172.30.1.20.42610: UDP, length 32
11:24:51.391534 eth1  Out IP 172.30.2.10.3480 > 172.30.1.20.42610: UDP, length 32
11:24:51.391601 eth1  In  IP 172.30.1.20.42610 > 172.30.2.10.3481: UDP, length 20
11:24:51.391603 eth0  Out IP 172.30.1.20.42610 > 172.30.2.10.3481: UDP, length 20
11:24:51.391773 eth0  In  IP 172.30.2.10.3481 > 172.30.1.20.42610: UDP, length 32
11:24:51.391774 eth1  Out IP 172.30.2.10.3481 > 172.30.1.20.42610: UDP, length 32
11:24:51.494868 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:51.494877 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:51.499060 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:51.499070 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:51.799383 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:51.799396 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:51.800749 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:51.800752 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.101136 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:52.101143 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:52.106041 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.106047 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.407336 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:52.407347 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:52.407807 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.407811 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.708358 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.708363 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:52.711316 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:52.711317 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.009118 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.009121 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.013399 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.013400 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.309594 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.309599 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.315309 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.315311 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.612690 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.612694 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.618319 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.618321 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.917322 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.917327 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:53.923073 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:53.923078 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:54.222975 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:54.222986 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 13
11:24:54.224467 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:54.224474 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 13
11:24:54.523821 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:54.523825 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:54.525041 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:54.525043 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:54.824323 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:54.824327 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:54.825809 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:54.825811 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.130221 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.130221 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.130228 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.130228 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.431421 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.431434 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.436032 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.436040 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.738110 eth1  In  IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.738121 eth0  Out IP 172.30.1.20.8024 > 172.30.2.21.36751: UDP, length 14
11:24:55.739725 eth0  In  IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
11:24:55.739732 eth1  Out IP 172.30.2.21.36751 > 172.30.1.20.42610: UDP, length 14
